'DEPT_1'    2500     100      25      1.0d0
'DEPT_2'    2500     100      25      5.0d0
'DEPT_3'    2500     100      25     10.0d0
'DPJB_1'    2500     100      25      0.1d0
'DPJB_2'    2500     100      25      0.5d0
'DPJB_3'    2500     100      25      0.9d0
'DMSA_A'    2500     100      25      0.0d0
'DMSA_B'    2500     100      25      0.0d0
'DMSA_C'    2500     100      25      0.0d0
'DMSO_A'    2500      50      50      0.0d0
'DMSO_B'    2500      50      50      0.0d0
'DMSO_C'    2500      50      50      0.0d0
'DODC_A'    2500      50      50      8.0d-3
'DODC_B'    2500      50      50      2.0d-3
'DODC_C'    2500      50      50      2.0d-2
'DSSC_A'    2500     100      25      5.0d0
'DSSC_B'    2500     100      25      5.0d0
'DSSC_C'    2500     100      25      5.0d0
'DGL1_A'    2500    2500       1      5.0d0
'DGL1_B'    2500    2500       1      2.3d0
'DGL2_A'    2500      25      25      4.0d0
'DGL2_B'    2500      25      25      8.0d0
'DGL2_C'    2500      25      25      1.6d1
'STOP'         0       0       0      0.0d0
